aX,aY,aZ,gX,gY,gZ
-0.305,-0.545,0.782,-12.634,18.005,4.089
-0.29,-0.55,0.793,-13.611,20.508,4.517
-0.282,-0.548,0.813,-13.794,21.118,3.967
-0.27,-0.545,0.835,-11.719,20.081,2.93
-0.263,-0.548,0.844,-9.888,17.029,1.465
-0.261,-0.549,0.842,-9.888,11.292,0.061
-0.269,-0.543,0.839,-11.414,4.456,-0.854
-0.281,-0.534,0.832,-14.343,-2.014,-1.343
-0.306,-0.516,0.818,-13.062,-6.042,-1.526
-0.325,-0.505,0.804,-12.39,-6.409,-0.305
-0.336,-0.502,0.796,-12.39,-3.174,1.709
-0.325,-0.507,0.804,-11.292,2.625,3.906
-0.309,-0.517,0.819,-12.939,8.728,5.554
-0.301,-0.518,0.835,-12.756,12.146,5.92
-0.294,-0.508,0.853,-10.254,14.16,5.676
-0.283,-0.508,0.857,-10.071,15.259,5.432
-0.276,-0.511,0.854,-7.019,15.381,4.15
-0.275,-0.505,0.85,-6.409,13.916,3.723
-0.279,-0.5,0.839,-5.676,11.047,3.479
-0.291,-0.494,0.828,-5.31,7.263,3.723
-0.304,-0.485,0.817,-7.202,3.967,4.944
-0.311,-0.481,0.81,-8.179,2.075,6.531
-0.305,-0.483,0.81,-9.216,2.319,8.484
-0.291,-0.489,0.814,-10.742,3.662,9.705
-0.284,-0.49,0.817,-10.193,4.944,9.888
-0.28,-0.485,0.818,-12.268,5.493,9.888
-0.278,-0.478,0.815,-13.794,6.47,9.521
-0.278,-0.475,0.809,-13.123,7.324,9.094
-0.277,-0.469,0.795,-12.207,8.179,9.277
-0.282,-0.464,0.785,-13,8.667,9.827
-0.289,-0.457,0.777,-14.771,8.85,11.292
-0.29,-0.451,0.786,-14.404,10.437,13
-0.28,-0.449,0.801,-15.747,13.306,14.893
-0.261,-0.454,0.821,-18.921,15.564,16.296
-0.242,-0.462,0.834,-17.7,16.418,16.357
-0.232,-0.467,0.84,-17.944,15.625,15.686
-0.227,-0.463,0.84,-20.386,13.367,14.832
-0.229,-0.457,0.836,-19.104,10.437,13.428
-0.234,-0.446,0.833,-20.874,7.507,13
-0.238,-0.437,0.829,-23.865,5.371,13.428
-0.25,-0.426,0.826,-23.621,4.211,13.916
-0.257,-0.412,0.831,-24.841,3.723,15.381
-0.259,-0.395,0.829,-25.818,5.432,17.578
-0.255,-0.404,0.824,-25.696,8.85,19.287
-0.249,-0.405,0.809,-26.184,12.817,20.325
-0.24,-0.406,0.802,-26.306,16.479,21.423
-0.224,-0.401,0.801,-26.062,19.348,21.362
-0.218,-0.404,0.802,-26.855,21.667,21.057
-0.203,-0.384,0.816,-30.334,23.865,21.118
-0.193,-0.389,0.842,-30.884,25.269,19.897
-0.189,-0.376,0.875,-30.334,26.184,18.311
-0.176,-0.372,0.907,-31.738,27.405,17.334
-0.165,-0.38,0.927,-29.114,28.198,15.808
-0.152,-0.385,0.939,-30.029,27.283,15.015
-0.148,-0.382,0.948,-27.283,24.963,13.672
-0.151,-0.376,0.958,-27.588,21.606,12.695
-0.154,-0.381,0.959,-29.114,18.188,11.902
-0.168,-0.353,0.975,-28.137,15.808,11.414
-0.169,-0.324,0.989,-28.625,14.709,12.024
-0.164,-0.327,0.996,-25.024,16.113,12.329
-0.155,-0.34,0.994,-21.24,18.677,12.146
-0.147,-0.341,0.99,-18.616,20.508,11.719
-0.143,-0.341,0.989,-16.663,20.752,11.108
-0.14,-0.344,0.996,-15.442,19.958,10.742
-0.134,-0.336,1,-13.367,17.883,9.949
-0.128,-0.325,0.997,-9.888,16.113,8.606
-0.13,-0.322,0.98,-7.202,13.672,6.714
-0.136,-0.313,0.953,-2.258,10.681,4.395
-0.151,-0.301,0.932,-3.357,8.362,3.723
-0.163,-0.297,0.922,-5.432,7.568,4.517
-0.16,-0.303,0.924,-9.583,7.507,6.287
-0.156,-0.308,0.941,-11.475,7.507,7.69
-0.153,-0.307,0.95,-13.977,6.836,8.972
-0.144,-0.301,0.958,-16.785,6.47,9.949
-0.139,-0.297,0.967,-14.221,6.531,9.644
-0.129,-0.295,0.966,-12.451,6.409,9.094
-0.124,-0.296,0.959,-11.78,6.165,7.874
-0.15,-0.212,1.449,10.925,32.898,5.188
-0.149,-0.215,1.521,21.24,29.907,2.136
-0.169,-0.229,1.571,33.508,23.376,-0.977
-0.192,-0.21,1.618,42.358,18.738,-1.221
-0.211,-0.183,1.667,50.72,19.531,0.427
-0.217,-0.166,1.727,59.387,24.719,2.625
-0.208,-0.145,1.786,69.336,31.494,6.348
-0.164,-0.071,1.847,83.862,36.804,9.949
-0.088,0.002,1.882,108.948,39.734,9.094
-0.036,-0.093,1.847,148.437,41.382,-0.305
-0.005,-0.209,1.696,194.275,38.086,-12.878
0.034,-0.245,1.559,223.511,30.273,-23.56
0.068,-0.274,1.418,243.042,19.47,-34.058
0.042,-0.303,1.257,253.906,4.15,-43.518
-0.013,-0.286,1.099,256.653,-13.062,-50.598
-0.088,-0.208,0.927,248.84,-33.569,-52.246
-0.172,-0.161,0.819,231.506,-50.293,-45.044
