aX,aY,aZ,gX,gY,gZ
-0.956,0.155,0.025,40.894,153.503,20.508
-0.969,0.146,0.026,44.739,153.931,18.982
-0.991,0.138,0.052,46.326,155.457,18.921
-1,0.138,0.071,44.128,157.532,20.63
-1.006,0.121,0.081,47.241,162.17,21.729
-0.997,0.112,0.095,46.936,167.786,23.315
-0.972,0.097,0.122,43.579,172.302,24.231
-0.954,0.082,0.155,43.762,174.255,23.926
-0.929,0.08,0.19,41.382,172.668,24.536
-0.932,0.089,0.229,38.33,167.419,24.841
-0.93,0.102,0.27,37.72,160.767,25.818
-0.924,0.099,0.31,34.973,155.334,26.978
-0.921,0.084,0.342,36.377,150.635,26.855
-0.919,0.08,0.362,38.696,147.278,26.123
-0.911,0.075,0.383,39.063,146.057,25.879
-0.897,0.07,0.412,40.161,146.606,25.391
-0.875,0.064,0.436,41.565,147.705,24.475
-0.87,0.062,0.464,43.823,148.56,22.522
-0.877,0.069,0.49,43.64,149.414,21.973
-0.869,0.07,0.492,49.561,153.931,21.423
-0.86,0.062,0.484,55.176,162.598,20.569
-0.841,0.061,0.492,54.016,172.241,20.996
-0.798,0.044,0.513,54.321,180.725,21.79
-0.748,0.015,0.549,55.298,184.937,21.912
-0.714,-0.001,0.595,50.72,181.641,21.667
-0.687,-0.012,0.633,44.739,172.485,21.729
-0.672,-0.026,0.661,42.725,160.522,21.423
-0.663,-0.031,0.685,38.574,147.4,22.095
-0.651,-0.034,0.699,33.264,136.108,23.01
-0.642,-0.035,0.714,32.715,128.174,22.583
-0.629,-0.031,0.732,29.785,123.718,21.973
-0.614,-0.033,0.738,31.921,123.535,20.081
-0.599,-0.039,0.737,33.997,125.427,17.517
-0.591,-0.046,0.74,33.997,127.625,15.198
-0.587,-0.051,0.748,35.767,129.639,12.512
-0.594,-0.059,0.76,36.194,130.31,10.925
-0.594,-0.052,0.771,33.936,131.226,11.047
-0.583,-0.059,0.772,36.865,133.606,11.047
-0.566,-0.062,0.773,37.231,137.146,11.78
-0.541,-0.068,0.775,36.011,141.235,12.39
-0.507,-0.078,0.78,37.109,144.226,12.39
-0.477,-0.078,0.799,33.936,144.47,13.184
-0.447,-0.076,0.829,28.259,141.846,14.709
-0.411,-0.075,0.865,23.01,135.925,16.785
-0.381,-0.083,0.896,19.348,126.77,18.738
-0.359,-0.09,0.917,19.348,116.516,18.738
-0.357,-0.093,0.929,18.127,106.873,18.311
-0.366,-0.093,0.926,17.639,99.548,17.822
-0.374,-0.09,0.919,18.799,95.276,18.188
-0.368,-0.083,0.92,16.052,95.215,19.958
-0.348,-0.08,0.932,16.663,97.961,21.423
-0.317,-0.082,0.948,18.494,101.44,21.729
-0.292,-0.099,0.955,19.47,103.699,20.447
-0.271,-0.109,0.959,23.254,103.882,18.372
-0.248,-0.113,0.96,23.499,103.516,16.357
-0.216,-0.121,0.953,26.062,102.661,13.367
-0.189,-0.137,0.95,27.893,99.854,9.766
-0.168,-0.142,0.955,23.071,92.957,7.385
-0.158,-0.14,0.964,20.325,82.153,5.92
-0.168,-0.133,0.972,16.968,69.397,5.371
-0.183,-0.128,0.981,12.329,56.824,6.653
-0.19,-0.114,0.992,6.226,46.509,10.01
-0.209,-0.105,0.993,4.7,38.452,13.184
-0.218,-0.1,0.992,5.066,33.081,17.09
-0.211,-0.095,0.997,2.625,30.945,21.729
-0.197,-0.104,1,4.578,30.823,23.987
-0.18,-0.114,0.998,8.118,31.372,23.804
-0.171,-0.12,0.993,8.362,32.837,22.095
-0.163,-0.124,0.986,10.803,35.95,19.409
-0.153,-0.133,0.976,14.771,40.039,15.747
-0.152,-0.136,0.966,13.672,43.579,13.184
-0.149,-0.132,0.971,12.146,45.41,12.573
-0.138,-0.126,0.981,9.827,46.082,13.55
-0.128,-0.12,0.993,7.812,44.983,14.771
-0.12,-0.117,1.002,7.507,42.297,15.869
-0.107,-0.109,1.018,8.85,38.94,16.663
-0.096,-0.105,1.031,10.254,35.278,16.113
-0.088,-0.111,1.035,12.329,31.006,14.16
-0.085,-0.119,1.029,13.855,26.55,11.414
-0.081,-0.126,1.015,14.526,22.339,8.545
-0.08,-0.126,1.001,16.846,18.555,5.615
-0.083,-0.121,0.988,18.555,15.808,3.235
-0.093,-0.115,0.974,17.7,14.526,2.136
-0.111,-0.107,0.965,16.785,14.282,2.747
-0.282,-0.374,1.075,51.392,-235.84,55.786
-0.301,-0.436,1.04,56.58,-252.38,51.208
-0.316,-0.491,1,58.044,-272.156,48.035
-0.399,-0.51,0.96,53.528,-293.884,46.814
-0.489,-0.531,0.924,48.584,-315.552,49.316
-0.554,-0.558,0.903,46.875,-332.336,56.03
-0.573,-0.601,0.904,48.096,-340.637,64.941
-0.552,-0.675,0.903,53.65,-340.393,70.679
